fecha,hora,pm25
6/07/2012,11:00:00,29
6/07/2012,12:00:00,21
6/07/2012,13:00:00,20
6/07/2012,14:00:00,24
6/07/2012,15:00:00,13
6/07/2012,18:00:00,22
6/07/2012,20:00:00,14
6/07/2012,21:00:00,22
6/07/2012,22:00:00,16
6/07/2012,23:00:00,19
7/07/2012,0:00:00,16
7/07/2012,1:00:00,19
7/07/2012,3:00:00,19
7/07/2012,5:00:00,21
7/07/2012,6:00:00,21
7/07/2012,7:00:00,32
7/07/2012,8:00:00,31
7/07/2012,9:00:00,46
7/07/2012,10:00:00,36
7/07/2012,11:00:00,14
7/07/2012,12:00:00,15
12/07/2012,3:00:00,18
12/07/2012,4:00:00,18
12/07/2012,6:00:00,22
12/07/2012,7:00:00,30
12/07/2012,8:00:00,36
12/07/2012,9:00:00,31
12/07/2012,10:00:00,35
12/07/2012,12:00:00,37
12/07/2012,13:00:00,34
12/07/2012,14:00:00,10
12/07/2012,15:00:00,21
12/07/2012,16:00:00,7
12/07/2012,17:00:00,18
12/07/2012,18:00:00,25
12/07/2012,19:00:00,17
12/07/2012,20:00:00,9
12/07/2012,23:00:00,13
16/07/2012,12:00:00,17
16/07/2012,13:00:00,14
16/07/2012,14:00:00,16
16/07/2012,15:00:00,27
16/07/2012,16:00:00,20
16/07/2012,17:00:00,21
16/07/2012,18:00:00,31
16/07/2012,19:00:00,16
16/07/2012,20:00:00,27
16/07/2012,21:00:00,32
16/07/2012,22:00:00,33
16/07/2012,23:00:00,16
17/07/2012,0:00:00,17
17/07/2012,1:00:00,14
17/07/2012,2:00:00,20
17/07/2012,3:00:00,21
17/07/2012,4:00:00,21
17/07/2012,5:00:00,27
17/07/2012,6:00:00,28
17/07/2012,7:00:00,27
17/07/2012,8:00:00,42
17/07/2012,9:00:00,42
17/07/2012,10:00:00,44
17/07/2012,11:00:00,46
17/07/2012,12:00:00,43
17/07/2012,13:00:00,26
17/07/2012,14:00:00,24
17/07/2012,16:00:00,24
17/07/2012,17:00:00,17
17/07/2012,18:00:00,20
17/07/2012,19:00:00,28
17/07/2012,20:00:00,33
17/07/2012,21:00:00,26
17/07/2012,22:00:00,24
17/07/2012,23:00:00,21
18/07/2012,0:00:00,20
18/07/2012,1:00:00,18
18/07/2012,3:00:00,14
18/07/2012,5:00:00,13
18/07/2012,6:00:00,26
18/07/2012,7:00:00,20
18/07/2012,8:00:00,30
18/07/2012,9:00:00,24
18/07/2012,10:00:00,44
18/07/2012,11:00:00,29
18/07/2012,12:00:00,26
18/07/2012,13:00:00,11
18/07/2012,14:00:00,12
18/07/2012,15:00:00,13
18/07/2012,16:00:00,19
18/07/2012,17:00:00,16
18/07/2012,18:00:00,25
18/07/2012,19:00:00,21
18/07/2012,20:00:00,21
18/07/2012,22:00:00,27
18/07/2012,23:00:00,26
19/07/2012,0:00:00,24
19/07/2012,1:00:00,23
19/07/2012,2:00:00,15
19/07/2012,3:00:00,15
19/07/2012,4:00:00,13
19/07/2012,5:00:00,17
19/07/2012,6:00:00,14
19/07/2012,7:00:00,23
19/07/2012,8:00:00,32
19/07/2012,9:00:00,36
19/07/2012,10:00:00,18
19/07/2012,11:00:00,14
19/07/2012,12:00:00,13
19/07/2012,13:00:00,16
19/07/2012,14:00:00,25
19/07/2012,15:00:00,14
